,make,model,year,owner,transmission,fuel,engine,max_power,seats,km_driven,seller_type,price_category
0,Maruti,Swift,2014,First Owner,Manual,Diesel,1248 CC,74 bhp,5.0,145500,Individual,Medium
1,Skoda,Rapid,2014,Second Owner,Manual,Diesel,1498 CC,103.52 bhp,5.0,120000,Individual,Medium
2,Honda,City,2006,Third Owner,Manual,Petrol,1497 CC,78 bhp,5.0,140000,Individual,Low
3,Hyundai,i20,2010,First Owner,Manual,Diesel,1396 CC,90 bhp,5.0,127000,Individual,Low
4,Maruti,Swift,2007,First Owner,Manual,Petrol,1298 CC,88.2 bhp,5.0,120000,Individual,Low
5,Hyundai,Xcent,2017,First Owner,Manual,Petrol,1197 CC,81.86 bhp,5.0,45000,Individual,Medium
6,Maruti,Wagon,2007,First Owner,Manual,LPG,1061 CC,57.5 bhp,5.0,175000,Individual,Low
7,Maruti,800,2001,Second Owner,Manual,Petrol,796 CC,37 bhp,4.0,5000,Individual,Low
8,Toyota,Etios,2011,First Owner,Manual,Diesel,1364 CC,67.1 bhp,5.0,90000,Individual,Medium
9,Ford,Figo,2013,First Owner,Manual,Diesel,1399 CC,68.1 bhp,5.0,169000,Individual,Low
10,Renault,Duster,2014,Second Owner,Manual,Diesel,1461 CC,108.45 bhp,5.0,68000,Individual,Medium
11,Maruti,Zen,2005,Second Owner,Manual,Petrol,993 CC,60 bhp,5.0,100000,Individual,Low
12,Maruti,Swift,2009,Second Owner,Manual,Diesel,1248 CC,73.9 bhp,5.0,140000,Individual,Medium
13,Maruti,Swift,2007,Second Owner,Manual,Petrol,,,,80000,Individual,Low
14,Maruti,Wagon,2009,Second Owner,Manual,Petrol,1061 CC,67 bhp,5.0,90000,Individual,Low
15,Mahindra,KUV,2016,First Owner,Manual,Petrol,1198 CC,82 bhp,5.0,40000,Individual,Medium
16,Maruti,Ertiga,2016,Second Owner,Manual,Diesel,1248 CC,88.5 bhp,7.0,70000,Individual,Medium
17,Hyundai,i20,2012,Second Owner,Manual,Diesel,1396 CC,90 bhp,5.0,53000,Individual,Medium
18,Maruti,Alto,2002,Second Owner,Manual,Petrol,796 CC,46.3 bhp,5.0,80000,Individual,Low
19,Hyundai,i20,2016,First Owner,Manual,Diesel,1396 CC,88.73 bhp,5.0,100000,Individual,Medium
20,Mahindra,Verito,2011,Second Owner,Manual,Diesel,1461 CC,64.1 bhp,5.0,100000,Individual,Low
